183078329468641	0.7072052999865264	6396463, 28621807
183078329468641	0.6454943219941924	6396463, 28621807
184208523265849	0.9160329999867827	7206443, 25561643
184208523265849	0.7151629290019628	7206443, 25561643
187717562592839	0.7841897000325844	7195997, 26086387
187717562592839	0.7125378920027288	7195997, 26086387
189149928329419	0.8334409999661148	7497067, 25229857
189149928329419	0.7492321450044983	7497067, 25229857
190287976024877	0.9443452999694273	7396273, 25727549
190287976024877	0.7422629790016799	7396273, 25727549
190356020342539	0.8140129999956116	6414581, 29675519
190356020342539	0.6495270130035351	6414581, 29675519
191250615888991	0.9596829999936745	7461647, 25631153
191250615888991	0.7433227629953763	7461647, 25631153
191697998426041	0.7630129000172019	6916517, 27715973
191697998426041	0.6898015110054985	6916517, 27715973
192217104060973	0.9350820999825373	7488101, 25669673
192217104060973	0.7468263200062211	7488101, 25669673
192453421135253	0.7492426000535488	6696779, 28738207
192453421135253	0.6707723289946443	6696779, 28738207
193332820177141	0.9088526000268757	7085339, 27286319
193332820177141	0.708956335001858	7085339, 27286319
194124016668979	0.8094390999758616	7371773, 26333423
194124016668979	0.7293087169964565	7371773, 26333423
194261418431167	0.7958926999708638	6379091, 30452837
194261418431167	0.6312331549997907	6379091, 30452837
194533927628321	0.9270667999517173	7316453, 26588557
194533927628321	0.7299860279963468	7316453, 26588557
194796168735743	0.8490587000269443	7179943, 27130601
194796168735743	0.7123978170056944	7179943, 27130601
194974465113371	0.8462992000859231	6792083, 28706137
194974465113371	0.6739179319993127	6792083, 28706137
195886699755781	0.9110586999449879	7112711, 27540371
195886699755781	0.7082038219959941	7112711, 27540371
196653883670989	0.8289183999877423	6540181, 30068569
196653883670989	0.6518393039950752	6540181, 30068569
199406981452241	0.7407213000115007	6758533, 29504477
199406981452241	0.6876552570029162	6758533, 29504477
200240971656137	0.8230773000977933	6392879, 31322503
200240971656137	0.6424259899940807	6392879, 31322503
200269326396091	0.8853230000240728	6780881, 29534411
200269326396091	0.6818223549998947	6780881, 29534411
200338937331971	0.8635228999191895	6900499, 29032529
200338937331971	0.6899987599972519	6900499, 29032529
200383439138809	0.8222109000198543	6515497, 30754897
200383439138809	0.650991010996222	6515497, 30754897
200399041428323	0.9951290999306366	7884329, 25417387
200399041428323	0.8146354709970183	7884329, 25417387
201022907250019	0.969835800002329	7626221, 26359439
201022907250019	0.7620944599984796	7626221, 26359439
201580914691297	0.9534754999913275	7539431, 26736887
201580914691297	0.7544421209968277	7539431, 26736887
201820318803847	0.8791702999733388	7059121, 28590007
201820318803847	0.7150255629967432	7059121, 28590007
202005264645797	0.8723895999137312	6949927, 29065811
